88,0,0
80,1,0
84,1,0
92,1,0
96,1,0
76,2,0
72,3,0
100,3,0
68,4,0
104,5,0
64,6,0
60,7,0
56,8,0
108,8,0
52,9,0
48,10,0
44,11,0
13,12,0
17,12,0
21,12,0
40,12,0
112,12,0
9,13,0
24,13,0
28,13,0
32,13,0
36,13,0
5,16,0
114,16,0
2,20,0
116,20,0
81,23,0
0,24,0
77,24,0
116,24,0
85,26,0
74,27,0
0,28,0
116,28,0
84,30,0
76,31,0
0,32,0
116,32,0
45,34,0
82,34,0
41,35,0
49,35,0
76,35,0
1,36,0
114,36,0
37,37,0
53,37,0
34,38,0
82,38,0
74,39,0
3,40,0
31,40,0
112,40,0
56,41,0
71,41,0
85,42,0
27,43,0
7,44,0
68,44,0
89,44,0
109,44,0
23,45,0
60,45,0
11,46,0
15,46,0
19,46,0
64,46,0
97,46,0
101,46,0
105,46,0
83,6,1
79,7,1
87,7,1
91,7,1
75,8,1
95,8,1
99,9,1
71,10,1
102,10,1
67,11,1
64,12,1
106,13,1
60,14,1
52,15,1
56,15,1
48,16,1
45,17,1
81,17,1
109,17,1
42,18,1
77,18,1
84,18,1
15,19,1
19,19,1
30,19,1
34,19,1
38,19,1
73,19,1
87,19,1
11,20,1
22,20,1
26,20,1
110,21,1
70,22,1
90,23,1
7,24,1
68,25,1
110,25,1
92,26,1
6,28,1
43,28,1
47,28,1
51,28,1
39,29,1
68,29,1
110,29,1
35,30,1
92,30,1
31,31,1
55,31,1
6,32,1
70,32,1
27,33,1
109,33,1
91,34,1
8,35,1
59,35,1
67,36,1
23,37,1
63,37,1
106,37,1
12,38,1
15,38,1
19,38,1
91,38,1
99,41,1
103,41,1
91,45,2
95,41,2
93,46,2
93,40,2
